,tweet.id,tweet.created_at,tweet.user.location,tweet.text
0,1393226277398646784,2021-05-14 15:26:44,,"Me when I seen @earlxsweat got a video wit @whylonewolf. 

(Dances in depression) https://t.co/Gr6b35kFvt"
1,1393226269337309186,2021-05-14 15:26:42,,RT @flyiieaesthetic: Depression is real. A person can come outside and look so happy... do nothing but smile. But when their at home they f…
2,1393226266187386886,2021-05-14 15:26:41,"Raymondville, TX",RT @dopevibetweets: mental health is real. depression is real. suicide is real. check up on the people you love.
3,1393226261057753090,2021-05-14 15:26:40,Mexico.,"@VP @SecMartyWalsh Mr. Obama stated that ""The minimum salary would be raised to $15/hr in 2021."" Now, REPUBLICANS/T… https://t.co/rp8VQjJq41"
4,1393226250781487108,2021-05-14 15:26:37,sa bahay nakahiga,RT @flyiieaesthetic: Depression is real. A person can come outside and look so happy... do nothing but smile. But when their at home they f…
5,1393226249250635781,2021-05-14 15:26:37,"Panipat, India","RT @i_Nav_03: Stress, depression and anxiety are very common these days. Good mental health is a crucial part of fitness. One must try to r…"
6,1393226245924548610,2021-05-14 15:26:36,Causeway Bay,"RT @BgyoConfessions: Hi, ACEs. Pls lets promote respect, love &amp; unity in this fandom. Having read some of our co-fans' confession about the…"
7,1393226241772294154,2021-05-14 15:26:35,Hampshire,RT @MMHA_HIOW: Read an inspiring story of how #OpCourage helped one veteran turn his life around and now he is feeling hopeful and positive…
8,1393226238651686916,2021-05-14 15:26:34,"STAR!!snow/them, edtwt","therapist  just  told  me  today  that  i  have  anxiety,  social  problems  and  depression  🧍‍♂️  not  that  i  d… https://t.co/qbEkB0cFMW"
9,1393226234209914880,2021-05-14 15:26:33,"Summerville, SC",RT @Mr_HappyEnding: Battling depression and anxiety isn't easy. You all make it bearable and I appreciate that 🖤🤍
10,1393226227696033796,2021-05-14 15:26:32,"Weeekly, Loona, DG, FxG","RT @LiaTheGreat: i got my covid vax today as part of A3 and my comorbidity is depression. For those with a diagnosis like me, please contac…"
11,1393226214769373193,2021-05-14 15:26:29,she/her ◦ 7TEEN ◦ dmgc ◦ mmgc,"// rant 

my depression and anxiety and also some recent family issues have made it so i haven’t gotten like any wo… https://t.co/3A4hkluFrY"
12,1393226210436689920,2021-05-14 15:26:28,,RT @flyiieaesthetic: Depression is real. A person can come outside and look so happy... do nothing but smile. But when their at home they f…
