,0,1,2,3
0,1392916302407233542,2021-05-13 18:55:00,,Depression music https://t.co/gMy9bXz5qD
1,1392916267120480260,2021-05-13 18:54:51,,@KieranTop1 “Self diagnosed with depression”. There are actual people fighting for there mental health to be ok and… https://t.co/8MPHRarfbu
2,1392916252843200514,2021-05-13 18:54:48,planet earth,"@AnnMill24523296 @ChrisEvans And btw, the kids who really need mental help, are not just dealing with depression or… https://t.co/X7s2pMj7mV"
3,1392916243766812675,2021-05-13 18:54:46,"Delray Beach, FL",I got to say I had a little brush with depression during the pandemic. A lot of people blew me off. I got pretty lo… https://t.co/dprARR5AYL
4,1392916225701801986,2021-05-13 18:54:41,California,@Em70335551 Therapy won't help with the Epilepsy but not everyone's depression are caused by the same thing that ca… https://t.co/aSMXrL4Dvy
5,1392916224103927816,2021-05-13 18:54:41,,Post barbers depression is the worst
6,1392916201140072451,2021-05-13 18:54:36,"City of London, London","One in five employees experienced depression this year, official figures show: https://t.co/CPB666GQZg… https://t.co/9k5XsMKBPE"
7,1392916198862565383,2021-05-13 18:54:35,"18, texas aka ram ranch",got depression room and my extremely full laundry basket is beginning to look back at me
8,1392916190041944066,2021-05-13 18:54:33,,First episode out now! Listen to Olivia's letter to her younger self as she talks about her journey with depression… https://t.co/WgxbyMwYTx
9,1392916178373431307,2021-05-13 18:54:30,"New York, USA",@NoahKahan That’s my favorite kind of depression
10,1392916173390503936,2021-05-13 18:54:29,joe mama,"pain is real
depression is fucked up
anxiety leaves you alone with yourself..."
11,1392916156277825542,2021-05-13 18:54:25,Ur mothers house,I guess it’s the depression fo today
12,1392916156030324741,2021-05-13 18:54:25,"Naugatuck, CT","#CDC says vaccinated people can essentially throw away their masks. 14 months of hell, anxiety, depression, and unk… https://t.co/GZQ0yE3Bea"
13,1392916124187119619,2021-05-13 18:54:17,22| she/her| Black ♡,@AQUARADO11 @lovinggot7alot @simpforkpop__ not them using depression to defend this…
14,1392916060194607106,2021-05-13 18:54:02,,Depression got me like my gas tank: Empty 😤
15,1392916047402049537,2021-05-13 18:53:59,"Woodlands, Texas",1 in 7 women show significant symptoms of depression or anxiety during their pregnancy or in the year following del… https://t.co/5ELtLwcs7W
16,1392916025809772547,2021-05-13 18:53:54,"North Bay, Ontario",@AmandaMcCrary3 Sorry to hear about your mom. I hope she feels better soon. I'm glad you found this helpful ... I'm… https://t.co/vjrIwPTWC8
17,1392916019056885767,2021-05-13 18:53:52,East Midlands,"@UbaFlynn @katie_jr Can you suggest what to say? My son has awful depression but he's very aggressive and angry, wo… https://t.co/Gfbt28KXF3"
18,1392915958872875014,2021-05-13 18:53:38,"Oneida 41, Ontario",I’ve help so many people get thru troubles and depression but who’s really there for me when I need the help
19,1392915957002252291,2021-05-13 18:53:37,"Soon to be 19, he/him",I’m in my both reputation and evermore(depression) eras right now so shut up y’all I’m sad.🥺🥺 https://t.co/yAwAtgUgia
20,1392915943614029824,2021-05-13 18:53:34,"Wasaga Beach, Ontario","@celliottability Real numbers Christine ! Bankruptcies, Suicides ,Alcoholism, Overdoses up 1400% and taxing our eme… https://t.co/tEVqws3byy"
21,1392915942091407363,2021-05-13 18:53:34,,"@Matthew62494531 @Tyson_Fury @tommyfury @toprank @MTKGlobal @wowhydrate @marbella Yeah, the one who calls others bu… https://t.co/UgqDqP8yMT"
22,1392915941730750468,2021-05-13 18:53:34,Neo Tokyo,To Your eternity episode 5 was depression https://t.co/mDXqEPwP3w
23,1392915918288678915,2021-05-13 18:53:28,626,@vivicapimentel depression???
24,1392915904313319425,2021-05-13 18:53:25,,"""In the mist depression and anxiety sit dark energy in the shadows. The energy looks like a black cloud. I witnesse… https://t.co/qFPN4ehEHd"
25,1392915903046725633,2021-05-13 18:53:25,somewhere,"The Duke And Duchess Of Cambridge Carry Out Engagements In Wolverhampton:

3. HugglePets in the Community, which us… https://t.co/fvUHcU94MY"
26,1392915851037315082,2021-05-13 18:53:12,,"It’s just this anxiety &amp; depression... 
I have to overcome it."
27,1392915822373396482,2021-05-13 18:53:05,"Nigeria, Canada IJN","@OMichaelUchenna @Mc_Phils Asin, they even place a threat to kill the person who duped them but the same exact thin… https://t.co/fJbDgYP85y"
28,1392915779524468738,2021-05-13 18:52:55,Kitsune Goddess of Kyoto Japan,"When depression kills your lewd muse.

The feels be real. https://t.co/1DVBQdAaxl"
29,1392915779331440646,2021-05-13 18:52:55,"Providence, RI",tfw you start therapy for what you think is regular ol’ depression &amp; soon learn you’ve had OCD since childhood &amp; al… https://t.co/sA8d1vgH6g
30,1392915773098708993,2021-05-13 18:52:54,,"Loneliness and depression really make you appreciate your family so much and make you feel stupid, coz you used to… https://t.co/JViQT8F0T7"
31,1392915771844612096,2021-05-13 18:52:53,,"@createactivism Thinking on it, this a good example of how cynicism and depression not only narrow our imaginations… https://t.co/2p1lX0Q4ER"
32,1392915763413983233,2021-05-13 18:52:51,,@jjeonsbliss Nope they think I am crazy 😭 sometimes it hurts because they could not recognise my anxiety and depres… https://t.co/aa26HQKKy1
33,1392915754954027008,2021-05-13 18:52:49,,@srinivasiyc @Amanpr786 Now do we need to take the positivity more seriously then her. May god make us a lesser con… https://t.co/redgjKV1vZ
34,1392915746196496384,2021-05-13 18:52:47,Discord : ayLeon ღ#7460,i just read 350661 now i have depression
35,1392915742673326086,2021-05-13 18:52:46,"Orlando, FL",Depression https://t.co/HOcanjxxF6
36,1392915734041440258,2021-05-13 18:52:44,,@RightBare @TESLA_is_a_TREX Frigging hope so ... this is beginning to look like a depression.
37,1392915721240334340,2021-05-13 18:52:41,uk • she/her • 24,its been cloudy with a chance of depression 🌩
38,1392915717788377088,2021-05-13 18:52:40,"Roshach, Pavlov, Nocebo","@GenZReviewer Gotta work on that rewiring of brain pathways,

otherwise it will lead to hyper (something scientific… https://t.co/AlsBe7SAQy"
39,1392915695109820421,2021-05-13 18:52:35,"Hamilton, Ontario Canada",Depression https://t.co/I2X8GLGEiI https://t.co/3OntyTeuQH
40,1392915694564556808,2021-05-13 18:52:35,"Warwick, Warwickshire, UK","@MichaelBensonn Anxiety/Depression is a Monster in the Mind...
Ryan is brave to open up... He should chat to… https://t.co/rYblgt2IjK"
41,1392915639161917447,2021-05-13 18:52:22,the red planet,Depression is not your friend! Fight that bitch like you’ve been fighting all your life.
42,1392915633210232833,2021-05-13 18:52:20,"Fresno, CA",Here's hoping that all these crypto currencies lead us to a Great Depression. 🤪
43,1392915626998607872,2021-05-13 18:52:19,"Augusta, GA",I’ve had depression my whole life and these MF still don’t know how to talk to me.. how tf you gone tell me how to… https://t.co/A8bTg5Kyu6
44,1392915601069387776,2021-05-13 18:52:13,New Orleans,Forgetting to eat is like Top 5 worst Depression symptoms.
45,1392915599018262529,2021-05-13 18:52:12,"Kishtwar, J&K || Delhi","@ifraNaqash May allah grant ur parents Jannah n give u sabr ameen.
But everyone has different capacity to bear pain… https://t.co/6ECmlCMsR8"
46,1392915586137706503,2021-05-13 18:52:09,,"@Valhalla_X0 Saw my dad die in front on me. @15
Enter uni @17
Na UI i go we strike for no reason.
Graduated @22 cov… https://t.co/F48yWmYeED"
47,1392915566743244800,2021-05-13 18:52:04,"Coolidge, Arizona","We're continuing to learn more during #NationalWomensHealthWeek. Prioritizing #Health is so important! 
Today's the… https://t.co/JxBCuvWIzf"
48,1392915563148611590,2021-05-13 18:52:04,,"Depression is not just a feeling..
It's not something people enter by choice and can come out from by choice.

Some… https://t.co/t8Rq0qurIu"
49,1392915523680317440,2021-05-13 18:51:54,"Karen, Kenya",How does depression get us here in Kenya with all these 🤣🤣🤣? https://t.co/xjXujctTZN
50,1392916315313098752,2021-05-13 18:55:03,"Dadri, India",@rjogpal @dccharkhidadri @DadriPolice @diprodadri Sir u r doing great work... that much transparency gives hope to… https://t.co/oIjxtEL8zK
51,1392916314876956673,2021-05-13 18:55:03,,@NataBiden your wishes are all right and i hope they're fulfiled
52,1392916313761226754,2021-05-13 18:55:02,check out my archive!!,I hope he's doing fine
53,1392916313073283073,2021-05-13 18:55:02,,"REQUEST @arashi5official @MTV #FridayLivestream

Please play ARASHI's Music Video♪

I hope many people will be inte… https://t.co/Z1Mh0f1GR3"
54,1392916312800825345,2021-05-13 18:55:02,May 6th🕊💔,@zelxys hope it all goes well🙏🙏
55,1392916312742146050,2021-05-13 18:55:02,Asgard,"@TheMoneyMuntz @KongPosting Even if it's not the official squeeze, I hope you mortals made some money off my prediction"
56,1392916311815200769,2021-05-13 18:55:02,,@TomofNorth @TheShuffleCast Hope so .. 🙏
57,1392916311601205248,2021-05-13 18:55:02,"Buffalo, NY",some of yall really hate to see lesbian win ... hope u get better
58,1392916310674350092,2021-05-13 18:55:02,"Selangor, Malaysia","I wasted too many shiplocks. 

I hope E5 allows shiplocked ships from other map. https://t.co/Gf5eMdtsln"
59,1392916310166749189,2021-05-13 18:55:02,"Flanders, NJ",Even monsters sometimes need a break. I hope Bray Wyatt gets the help he needs.
60,1392916309353058311,2021-05-13 18:55:01,"London, England",@Mistywoman1 Hope you feel better soon.
61,1392916309097209856,2021-05-13 18:55:01,"London, England",@NW6Community @MaygroveRoad @CamdenCouncil @AdamDKHarrison @petertaheri @FlickRea Let’s hope so!The school has caus… https://t.co/sdmAMIYpRU
62,1392916308723908615,2021-05-13 18:55:01,Ireland,@conormccabe @PavilionBooks Thanks Conor! Must catch up soon on all things marine 🌊 hope it’s all going good.
63,1392916306983325704,2021-05-13 18:55:01,New England,i usually don't post much here but i hope @TonyKhan understands how tone deaf and outdated Cody's promo was last ni… https://t.co/Jj8q7vioYs
64,1392916306958032899,2021-05-13 18:55:01,SLUSHIES at Judiths House,@michaelwoodnz I hope bikes and e scooters haven't been overlooked in this solution!
65,1392916306433822721,2021-05-13 18:55:01,she/her,"@grandesexile eid mubarak &lt;33
hope you're having a good day 👯‍♀️"
66,1392916306345611264,2021-05-13 18:55:01,"ÜT: 33.854589,-117.81257",@Katception Sending good vibes! Hope you get it!
67,1392916306123542530,2021-05-13 18:55:01,Lowton,@Eurosport_UK @spannawalker @daniellloyd1 Very scary scenario. Hope the team are penalised in some way as that was inexcusable behaviour
68,1392916305955614721,2021-05-13 18:55:01,,It’s hope that kills you. #MANLIV https://t.co/lorbaH8z4T
69,1392916305267728385,2021-05-13 18:55:00,She/Her | 30 | 🇲🇽| ,@whiskeysdarlin hope you have a lovely day
70,1392916305116860419,2021-05-13 18:55:00,"Chicago, IL",I hope Acuna is ok!  That didn't look good
71,1392916304860827648,2021-05-13 18:55:00,United States,@rangerinexile @Cajsa @Yamiche Congratulations (?) on catching the coronavirus but not dying. I hope you didn’t pass it on to anyone else.
72,1392916304466751495,2021-05-13 18:55:00,Berlin,"@colonelkurtz99 Sounds nightmarish horrible! 🤯
Hope she will recover soon without long lasting injuries! I feel so… https://t.co/Zw9qJpBJcr"
73,1392916304458391554,2021-05-13 18:55:00,,"@Jonsnow82798183 @lzbth_hy @WhiteHouse And now the lockdown dead-enders, sticking to their goofy mask fetish, will… https://t.co/sSqlC2v7W3"
74,1392916302570921988,2021-05-13 18:55:00,,@underHiswing914 @hepzibah77 @BaddCompani Me too! Hope she's my future Governor.
75,1392916302516215810,2021-05-13 18:55:00,NW USA,@BanishedJourno So happy you’re back! I did contact Twitter about it so I hope that helped! 🥰
76,1392916302067605505,2021-05-13 18:55:00,they/it/xe/he/she,"@W1LBOO It's ok, she's said stuff like this before so I hope she changes her mind :]"
77,1392916301685923840,2021-05-13 18:55:00,Somewhere on planet Earth,"@kimguilfoyle I hope you remember this day as no one else will forget it for the rest of their life's!

Never forgi… https://t.co/uczhGSlSOk"
78,1392916300775755787,2021-05-13 18:54:59,Newfoundland and Labrador,@McMudder71 The Goddamn Newfie dirtbags strike again. Unreal. I hope someone sees something.
79,1392916299915931664,2021-05-13 18:54:59,"Toronto, Ontario",Really proud of this report that the team @TorontoSRI has been working on. We hope this is a valuable contribution… https://t.co/ySeZh949X3
80,1392916299131588611,2021-05-13 18:54:59,Florin,"@FudgeTosser @ArthurDelaneyHP @hunterw Wow, you sure left out a lot of details there.
  I hope you made a pie with… https://t.co/LD2lGrDSkq"
81,1392916298951188488,2021-05-13 18:54:59,Playing doctor with your momma,I hope this dream of his comes true. https://t.co/b9aPavWul7
82,1392916298951118850,2021-05-13 18:54:59,"Nairobi, Kenya",@shayasilbers1 @IMPACTWRESTLING @JoelPearl Hey join me tonight for Impact Wrestling live reaction commentary watch… https://t.co/TxYSK5VU8e
83,1392916298674343942,2021-05-13 18:54:59,black,@91ZOUIE i hope you and your family are safe ♥️
84,1392916297596477442,2021-05-13 18:54:59,"The Woodlands, TX","The experience has been HUMBLING, to say the least. I do still believe, but I’ve been absolutely abused by their de… https://t.co/o9AhsaGHbR"
85,1392916296950423553,2021-05-13 18:54:58,,@ArizonaAudit Wow. Omg I hope we caught them. God will expose the lies and theft
86,1392916296782647297,2021-05-13 18:54:58,universe ,@jaunpurpolice @Scout_Captain_ @Jatin_Rudrak @Delhiite_ Kudos to @jaunpurpolice  hope is been restored !👍🏻
87,1392916296380166144,2021-05-13 18:54:58,Florida ,"I hope Matt Gaetz has a long and fucking miserable weekend, waiting to be arrested 
#ByeMatt #MattGaetzIsInTrouble"
88,1392916296187133966,2021-05-13 18:54:58,,"Me: Oh gosh, I hope I didn't make any mistakes on my rapid data entry.
ArchivesSpace: ALL👏ROWS👏ARE👏VALID👏"
89,1392916295797022722,2021-05-13 18:54:58,"Portland, OR","@beerbabe True, definitely in the short term. My hope is that we reach a consensus on the recommendations sooner ra… https://t.co/4cf1ton45t"
90,1392916295440547844,2021-05-13 18:54:58,,@PennyforaTale Damn dude :( - I hope they fix it soon. I had run into a similar issue back in 2016 - 2017 with Kick… https://t.co/oV05x0qnTU
91,1392916295029506049,2021-05-13 18:54:58,,@TomFelton @TomFelton  Hi tom i drew you i hope you like it ❤️ my Instagram : @ fofo.arts https://t.co/InmKHMGARb
92,1392916294073262084,2021-05-13 18:54:58,,I hope you enjoy my advice! #friendship
93,1392916293918003201,2021-05-13 18:54:58,,I'm super excited to be back on @ABCSharkTank tomorrow night @ 8 p.m. ET / 7 p.m. CT for my final episode of this s… https://t.co/G5bPHhaW8G
94,1392916293662162952,2021-05-13 18:54:58,,"@jubbsxx @Andrea62928413 @JennySteer5 @Cheeseo76847269 Trust me, not all tweeters are like that!
What he was postin… https://t.co/e2t2AF4sUT"
95,1392916293259382786,2021-05-13 18:54:58,"กรุงเทพมหานคร, ประเทศไทย","""i hope he will die soon""
#ข่าวลือ #ผู้ใหญ่บ้านหมู่10 #รีบอนภาคสุดท้าย"
96,1392916292135526402,2021-05-13 18:54:57,"Sligo, Ireland","@Smartheat @OMGitsagirl2015 It's your birthday????
Happy happy happy birthday!!!
Hope you are having a lovely day 🥳❤🥳❤"
97,1392916292017983488,2021-05-13 18:54:57,"Johnstone, Scotland",@Cxrly__ Hope you’re well soon mate 👍🏻
98,1392916291120422912,2021-05-13 18:54:57,"London, England","Our inplay channel currently standing at a healthy +17.5 units profit for the month so far ✅

Hope our members are… https://t.co/smLT37yTX7"
99,1392916290537410560,2021-05-13 18:54:57,,SEHS Leadership is grateful for our Instructional Officers. Thank you for all of your support and we hope you like… https://t.co/GsrqrFojUD
100,1392916273407856642,2021-05-13 18:54:53,Magyarország,"@gagadaily When I sad, I just watch Friends and I can laugh... But when I feel really hopeless I just listen Gaga a… https://t.co/xWjmth7cyY"
101,1392916212464640013,2021-05-13 18:54:38,EvilCorp Tower,"Queue another round of obtuse, querolous questions from our hopeless WHPC https://t.co/8KF64Oj6UY"
102,1392916162896437255,2021-05-13 18:54:27,United States,"@5X5_NEWS @alpha_check @JackSarfatti @MickWest I don't understand, are you asking me what he said? If you can't pic… https://t.co/rS44VnCuV0"
103,1392916104708640768,2021-05-13 18:54:13,"Los Angeles, CA",i used to be so hopeless that i would never find peace within myself and i can happily say that the day has finally come ✨
104,1392916100107616257,2021-05-13 18:54:12,"Chennai, india","@WeRBernie @Fiorella_im It's Not like that 

Brits occupied it in 1918

Jews slowly bought properties

Jews prepare… https://t.co/h8dV78YPc4"
105,1392916028246614026,2021-05-13 18:53:54,mod 1st in following,"Arthur: But Master Figaro, you’re not hopeless at all! You’re capable of anything and everything!
Figaro: Why thank… https://t.co/Pne0fr967k"
106,1392916001507921928,2021-05-13 18:53:48,"Earth, Solar system, Milky Way",@KevSaddler @injured_cyclist @zarahsultana Well if you know where my loyal cronies are please tell them to report t… https://t.co/cj6oiPVjrt
107,1392915993333309441,2021-05-13 18:53:46,She/Her🌸,I feel so weak in every way imaginable. This will never end. We’re stuck in this murderous loop that’s only gaining… https://t.co/ozpg9YROaE
108,1392915800097394688,2021-05-13 18:53:00,apni hi masti mein,"This is outrageous but guys, you know, YouTube is so so full of all sorts of Islamophobic content. It is worse than… https://t.co/wYdP6ZMMV1"
109,1392915772662554624,2021-05-13 18:52:53,"Cork, Ireland","When love broke thru
You found me in the darkness
Wanderin' thru the desert
I was a hopeless fool
Now I'm hopelessl… https://t.co/Tla7tqp0n1"
110,1392915613991923712,2021-05-13 18:52:16,Central Perk,I'm hopeless and akward amd desperate for this✨. https://t.co/ybZJN0R55m
111,1392915596908630017,2021-05-13 18:52:12,wip. run by @TVW0RLD,They'd all be totally hopeless without me-!
112,1392915395108028422,2021-05-13 18:51:23,,@thedeeman8 @JamieBrysonCPNI Good to see both sides have put the 'what about' reactions behind them and moved on to… https://t.co/jOO3M20Rp6
113,1392915375730401280,2021-05-13 18:51:19,Darkness,"In surrender I do not blind them to the fire 
 And still time could pity this hopeless flesh  
 Denied, time could arise"
114,1392915342205272065,2021-05-13 18:51:11,"London, England","@JonRCoutts It annoys me that after all this time, Match of the Day are still hopeless when it comes to fake crowd… https://t.co/OjRC4CSMpR"
115,1392915296495804418,2021-05-13 18:51:00,"Cairo,Egypt",When I see a close person sad af I feel hopeless I wanna change that.
116,1392915248697511941,2021-05-13 18:50:49,,"@drjaytee87 Bro Zim is just hopeless 
Consider writing conversion exams and leave the country
You guys deserve at l… https://t.co/CNzN2G5Gq9"
117,1392915238173937666,2021-05-13 18:50:46,Jo'burg,@kabelodick @JohnHlatseS @EFFSouthAfrica Why does this guy choose humiliate himself by taking up cases of hopeless… https://t.co/LO9vqS2ovg
118,1392915084574220289,2021-05-13 18:50:09,JIMIM,"i'm depressed but the tears don't come out anymore, i'm just stuck in this hopeless cycle and there's no way out of it anymore"
119,1392914906987499524,2021-05-13 18:49:27,"London, England",What does one have to do to get @dhlexpressuk to pick up a parcel? Day 2 of waiting and still none the wiser. Their… https://t.co/WvkdBxVF55
120,1392914811445563396,2021-05-13 18:49:04,,"@RobertAlai Those job losses

Your poor brothers will be back to streets poor and jobless n hopeless 

They will ha… https://t.co/R3m5fzyUNS"
121,1392914708571688960,2021-05-13 18:48:40,india and UAE,"@AamAadmiParty @BJP4India @INCIndia  please for time being, stop all kind of allegations on each other. Work togeth… https://t.co/j6cCfUrlUy"
122,1392914554833756163,2021-05-13 18:48:03,She/Her🌸,I’m so sad and hopeless I physically feel ill. I don’t know what to do. It feels like there’s never going to be a s… https://t.co/JjkmBka2Zx
123,1392914392899981313,2021-05-13 18:47:25,Saturn 🪐,"@nimraaaahy Hopeless Love...
Pyar hai par manzil nahi...
This relation end up in hurt"
124,1392914384981221389,2021-05-13 18:47:23,"جدة, المملكة العربية السعودية",@AHMEDALZAMER 😂..hopeless!.. https://t.co/J8JIHQldF7
125,1392914307894194180,2021-05-13 18:47:04,,"the hopeless dream of being. not seeming, but being. in every walking moment aware, alert. the tug of war - what yo… https://t.co/qb8J9hjidQ"
126,1392914306421956611,2021-05-13 18:47:04,,teasers should leave people happy or excited... not frustrated and hopeless
127,1392914215413899269,2021-05-13 18:46:42,,@KenDMacintosh @AlisonJohnstone @ScotParl Sorry but you were absolutely hopeless and will be very quickly forgotten… https://t.co/d1ShX42C49
